heading,publisher,FirstNations,Migrantsandrefugees,Racialminorities,Religiousminorities,LGBTIQ,Women,Men,Children,Youngpeople,Olderpeople,Peoplelivinginpoverty,Homelesspeople,Peopleonwelfare,Unemployedorprecariouslyemployed,Workingclass,Peoplewithdisabilitiesorchronichealthconditions,Overweightorobesepeople,Peoplewithdrugproblems,Peoplewithgamblingproblems,Prisoners,Agedcareresidents,Generaldisadvantage,Peopleinregionalorremoteareas,Survivorsofdomesticviolence,Warveterans,Singleparents,GENDERANDSEXUALITY,INSTITUTIONALISEDPEOPLE,Food.Nutrition,Water,Shelter,Healthcare.Health,Education,Energy.Cookingfuel,Sanitation,Familyrelations,Clothing.Personalcare,Violence,Familyplanning,Environment,Voice,Timeuse,Work,Crime.criminaljustice,Protectingheritage,Addiction,Recognition,Negativeemotions,Governmentassistance,Accesstotechnology,Finance,Socialconnections,Childprotection,Objectification,Slavery,Visasandcitizenship,Humanrights,Cyclesofdisadvantage,inequality,Disadvantage.notfurtherdefined,Prejudiceanddiscrimination.general,Accesstoresources.notfurtherdefined,Diversity.notfurtherdefined,Inclusion.Exclusion.notfurtherdefined,Harmsandburdens,Fairness,Freedom.notfurtherdefined,Harmony,Poverty,Injustice,Segregation,Vulnerable,AmplifiesDisadvantagedVoice,DispargesDisadvantaged,RecognisesIntersectionality,ProvidesHumanExamples,FocusesOnSolutions
"Breaking the culture of dependency, entitlement",News Ltd.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5, ,0,0.666666667
Vulnerable need help in recovery,News Ltd.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1,1,1
Culture and domestic violence,News Ltd.,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,1,1,0.666666667
CULTURE TO BLAME FOR MUCH OF THIS FAMILY VIOLENCE,News Ltd.,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,1,1,1,1
One word makes a difference,News Ltd.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.5,0,0.333333333
A national health problem tougher than COVID-19,Fairfax Media Management Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0.333333333
A paedophile supporter gets OA award,Fairfax Media Management Pty Limited,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333
A strong message on youth detention,Fairfax Media Management Pty Limited,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333
Action on ambulance claims took far too long,Fairfax Media Management Pty Limited,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0.5,1
All areas of sport need more women,Fairfax Media Management Pty Limited,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0.5,0.5,0.666666667
